actor_name,drama_name,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Ah Ri,I  Can See Your MBTI,6.7,7.3,5.5,5.0,6.3
Ahn  Ji Hyun,When Time Stopped,7.6,8.9,9.0,5.6,7.7
Ahn Bo Hyun,Dokgo Rewind,6.8,7.2,6.4,5.5,6.8
Ahn Bo Hyun,Her Private Life,8.9,9.8,9.2,8.8,9.1
Ahn Bo Hyun,Itaewon Class,6.5,8.0,7.3,4.9,6.7
Ahn Bo Hyun,Kairos,9.2,9.3,8.8,7.6,9.0
Ahn Bo Hyun,Military Prosecutor Doberman,8.7,9.1,7.7,6.9,8.2
Ahn Bo Hyun,My Name,7.4,8.5,8.0,5.8,7.7
Ahn Bo Hyun,My Only Love Song,6.5,7.0,6.8,5.8,6.6
Ahn Bo Hyun,My Runway,7.6,8.8,6.4,6.3,7.8
Ahn Bo Hyun,See You in My 19th Life,6.9,8.8,8.0,5.0,7.5
Ahn Bo Hyun,Wednesday 3:30 PM,7.3,7.9,8.2,6.2,7.8
Ahn Bo Hyun,Yumi's Cells,8.7,9.1,8.5,7.8,8.8
Ahn Bo Hyun,Yumi's Cells Season 2,6.8,8.2,8.2,5.3,7.0
Ahn Chang Hwan,Monthly Magazine Home,7.3,8.5,7.9,5.5,7.1
Ahn Chang Hwan,"Poong, the Joseon Psychiatrist Season 2",7.7,8.3,7.3,5.8,7.4
Ahn Da Bi,Bio Homme,8.0,7.5,10.0,8.0,8.5
Ahn Da Bi,Peach of Time,8.2,9.0,9.0,7.8,8.4
Ahn Dae Kyum,Discipline Z: Vampire,6.4,5.7,7.3,3.5,5.8
Ahn Do Kyu,Duty After School: Part 2,4.9,6.6,5.0,3.0,4.7
Ahn Dong Goo,Our Beloved Summer,7.0,8.7,8.2,6.3,7.8
Ahn Dong Goo,See You in My 19th Life,6.9,8.8,8.0,5.0,7.5
Ahn Dong Goo,The Law Cafe,6.3,7.7,6.9,4.7,6.4
Ahn Eun Jin,Happy Ending,7.5,9.5,7.5,7.5,8.0
Ahn Eun Jin,More Than Friends,5.0,7.7,7.1,3.8,5.2
Ahn Eun Jin,Strangers from Hell,8.1,9.6,8.8,6.1,8.1
Ahn Eun Jin,The Good Bad Mother,7.9,9.2,7.5,6.6,8.0
Ahn Eun Jin,The One and Only,7.4,8.9,7.6,5.5,7.9
Ahn Hee Yeon,Call It Love,8.6,9.5,8.4,7.8,8.9
Ahn Hee Yeon,Hit the Spot,9.0,9.3,7.9,8.1,9.0
Ahn Hee Yeon,How to Be Thirty,6.4,7.7,6.6,5.5,6.5
Ahn Hee Yeon,Idol: The Coup,8.5,9.1,9.2,8.3,8.8
Ahn Hee Yeon,XX,8.8,9.2,8.8,7.1,9.0
Ahn Hee Yeon,You Raise Me Up,7.6,8.8,8.3,7.0,7.9
Ahn Hyeon Bin,Sweet 20,10.0,10.0,10.0,10.0,10.0
Ahn Hyo Seop,A Business Proposal,5.9,7.3,7.5,5.9,6.5
Ahn Hyo Seop,Abyss,4.9,7.3,6.1,3.6,5.5
Ahn Hyo Seop,Dr. Romantic Season 2,7.8,8.8,8.8,6.4,8.2
Ahn Hyo Seop,Dr. Romantic Season 3,8.8,9.5,9.2,8.2,9.0
Ahn Hyo Seop,Lovers of the Red Sky,6.5,7.0,7.2,5.1,6.2
Ahn Hyo Seop,Queen of the Ring,6.8,8.2,6.7,5.1,6.9
Ahn Hyo Seop,Thirty But Seventeen,8.9,8.8,8.8,7.9,8.8
Ahn Hyo Seop,Top Management,7.5,8.4,8.4,6.8,8.1
Ahn Hyung Sub,Devil Inspector,7.8,6.9,7.7,7.2,7.6
Ahn Jae Hong,Be Melodramatic,8.0,8.8,8.0,7.2,7.9
Ahn Jae Hong,Fight for My Way,8.2,9.1,8.5,8.2,8.6
Ahn Jae Hyo,Exactly What’s Going On?,7.3,7.4,5.1,5.4,7.3
Ahn Jae Hyun,Blood,6.0,6.5,5.8,4.4,6.4
Ahn Jae Hyun,Cinderella and the Four Knights,5.8,7.6,7.7,4.1,6.3
Ahn Jae Hyun,Love with Flaws,6.1,8.2,8.0,4.9,6.6
Ahn Jae Hyun,Reunited Worlds,8.3,8.4,8.1,7.0,8.5
Ahn Jae Hyun,The Beauty Inside,6.8,8.6,7.9,4.8,7.0
Ahn Jae Min,A Bird That Doesn't Sing,6.5,6.8,3.5,4.2,6.2
Ahn Jae Mo,Amor Fati,5.0,5.2,4.0,4.2,5.0
Ahn Jae Mo,Enemies from the Past,5.8,6.8,4.2,3.2,5.0
Ahn Jae Wook,Five Enough,8.8,9.2,8.1,7.9,8.8
Ahn Jae Wook,Mouse,7.1,8.8,7.8,6.5,7.3
Ahn Jae Wook,The Empire,6.1,8.6,5.9,5.4,5.5
Ahn Je Na,The Witch's Eye,8.5,8.0,8.5,5.8,8.0
Ahn Ji Ho,Nobody Knows,9.5,9.8,9.5,8.7,9.4
Ahn Ji Hoon,My Romantic Some Recipe,7.4,8.0,7.4,6.3,7.4
Ahn Jung Hun,22 Flower Road,7.6,8.7,6.9,7.5,8.2
Ahn Jung Hun,Love Scene Number,8.2,8.4,6.3,6.2,7.9
Ahn Kil Kang,"Bad Thief, Good Thief",9.0,9.5,9.4,6.9,9.1
Ahn Kil Kang,Into the Ring,9.3,9.6,7.9,7.7,9.0
