director,drama_name,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Ahn Gil Ho,Happiness,81,100,6.2,8.9,7.3,5.0,6.8
Ahn Gil Ho,I Order You,7003,1476,5.5,7.0,6.1,3.8,6.0
Ahn Gil Ho,Memories of the Alhambra,2111,97,7.3,8.9,8.5,7.0,7.9
Ahn Gil Ho,My Son-In-Law's Woman,51872,9341,3.0,3.0,1.0,1.0,3.0
Ahn Gil Ho,Record of Youth,5475,157,6.1,8.2,7.4,4.0,6.5
Ahn Gil Ho,Stranger,120,150,8.8,9.4,8.4,7.6,9.0
Ahn Gil Ho,The Glory,72,107,7.9,8.8,7.0,6.0,7.6
Ahn Gil Ho,The Glory Part 2,47,191,8.2,8.5,7.0,6.5,7.8
Ahn Gil Ho,WATCHER,1042,853,8.4,9.5,9.0,6.8,8.6
"Ahn Gil Ho, Yoo In Shik",Mrs. Cop,2519,2253,7.9,8.8,6.6,6.0,8.0
Ahn Ji Hee,Choco Milk Shake,5998,763,8.3,8.6,7.7,7.5,8.4
Ahn Ji Sook,Let Me Be Your Knight,2499,1171,7.4,8.2,9.0,5.8,7.9
"Ahn Ji Sook, Nam Sung Woo",Kill It,1367,278,7.5,8.8,8.4,5.2,7.5
Ahn Pan Seok,Heard It Through the Grapevine,4287,1737,9.1,9.6,8.5,7.5,9.2
Ahn Pan Seok,One Spring Night,889,197,8.3,9.0,8.2,7.0,8.0
Ahn Pan Seok,Something in the Rain,2374,104,7.0,8.9,7.2,5.8,7.5
Ashbun,Angry Mom,1089,379,8.7,9.2,7.7,7.1,8.6
Ashbun,High Class,4471,2486,6.0,7.6,6.5,4.0,5.8
Ashbun,Missing 9,6682,612,5.7,8.7,6.9,3.8,5.7
Bae Jong,Island,1646,326,7.0,8.6,7.5,6.6,7.8
Bae Jong,Island Part 2,2248,1060,7.2,8.9,7.5,5.6,7.6
Bae Tae Seop,Amor Fati,52574,10602,5.0,5.2,4.0,4.2,5.0
Bae Tae Seop,Here Comes Love,47565,10654,7.2,7.4,6.0,6.0,7.5
Bae Tae Seop,"I'm a Mother, Too",45147,12268,6.2,6.0,4.2,2.0,5.8
Baek Ho Min,A Good Supper,8978,7223,3.8,5.5,5.7,2.0,3.8
Baek Ho Min,My Husband Oh Jak Doo,4669,1863,8.2,8.7,8.0,6.5,7.8
Baek Ho Min,You're Too Much,8334,5849,6.0,7.5,5.0,5.5,6.2
"Baek Ho Min, Lee Jae Jin",My Daughter Geum Sa Wol,7719,4550,4.0,6.2,4.2,1.0,4.5
Baek Min Hee,Just One Bite,2965,2410,7.0,7.2,6.8,6.5,7.2
Baek Min Hee,Just One Bite Season 2,2490,3028,7.9,8.9,7.8,5.5,8.6
Baek Min Hee,My Fuxxxxx Romance,8282,3356,6.9,7.9,7.3,5.0,7.2
Baek Min Hee,Our D-Day,41348,11422,8.5,8.5,9.5,7.5,8.0
Baek Min Hee,Peng,8028,2572,4.4,5.7,5.1,3.9,4.4
Baek Min Hee,Yellow,5904,3036,7.6,8.1,7.6,7.1,7.8
"Baek Sang Hoon, Kim Seong Yoon",Love in the Moonlight,1186,76,8.4,9.6,8.6,8.6,8.9
"Baek Sang Hoon, Kim Seong Yoon",Who Are You: School 2015,1294,72,7.8,9.1,9.2,6.2,8.5
"Baek Sang Hoon, Lee Eung Bok",Descendants of the Sun,307,4,7.2,8.6,8.8,6.2,7.8
"Baek Sang Hoon, Yoo Je Won, Jung Ji Hyun",The King: Eternal Monarch,1637,43,6.7,8.5,8.0,6.2,7.3
Baek Seung Ryong,Behind Every Star,4732,2503,7.1,8.0,7.0,6.0,7.3
Baek Seung Ryong,Pegasus Market,1277,2167,8.7,9.0,8.5,7.0,8.6
Baek Soo Chan,Alice,6262,892,5.6,8.7,7.5,4.0,6.2
Baek Soo Chan,Reunited Worlds,4837,1020,8.3,8.4,8.1,7.0,8.5
Baek Soo Chan,The Girl Who Sees Scents,2771,199,7.2,8.1,7.1,4.3,7.5
"Baek Soo Chan, Kim Ji Hoon",Kokdu: Season of Deity,6503,1040,7.0,8.2,7.8,4.8,7.3
"Baek Soo Chan, Nam Tae Jin",Beautiful Gong Shim,3353,351,6.7,8.8,7.9,5.2,7.5
Bang Soo In,Shadow Beauty,2032,991,7.4,8.6,6.8,6.0,7.4
Boo Sung Chul,Ghost Doctor,341,345,8.6,8.9,7.5,7.4,8.5
Boo Sung Chul,Mask,1706,469,7.3,8.1,6.5,4.9,7.5
Boo Sung Chul,Our Gap Soon,8023,2655,6.9,7.6,7.3,5.6,7.2
Boo Sung Chul,Your Honor,1794,1029,8.4,9.2,8.5,7.4,8.5
"Cha Tae Hyun, Yoo Ho Jin",Hit the Top,1833,220,7.2,8.8,8.1,6.7,7.9
Cha Young Hoon,Are You Human Too?,1024,99,8.0,8.8,7.8,7.6,8.1
Cha Young Hoon,Baek Hee Has Returned,4160,3899,7.9,8.9,6.9,6.2,8.0
Cha Young Hoon,Forecasting Love and Weather,4914,230,5.7,7.4,6.8,4.5,6.0
Chang,Rose Mansion,4090,3248,8.5,8.9,8.4,5.9,8.4
Chiba Seiji,D.P.,135,187,9.5,9.5,8.7,8.0,9.2
Cho Ui Seok,Black Knight,1422,608,7.6,8.4,6.7,6.4,7.8
Cho Yun Ho,Midnight Horror: Six Nights,58111,8608,7.0,7.0,8.0,6.0,7.0
"Choi Chang Wook, Choi Joon Bae",The Dearest Lady,53280,11354,4.2,5.0,3.0,1.0,3.5
"Choi Chang Wook, Shim So Yeon",Rich Family's Son,5674,3440,8.2,9.0,8.5,7.8,8.5
Choi Do Hoon,Never Give Up,2398,4204,8.4,8.3,6.8,7.2,8.2
Choi Do Hoon,Possessed,7050,1310,5.7,9.0,8.5,3.9,6.1
"Choi Do Hoon, Jung Hun Soo",Eccentric! Chef Moon,4776,2893,6.5,8.2,6.0,3.5,6.7
Choi Eun Jong,Dokgo Rewind,2144,1245,6.8,7.2,6.4,5.5,6.8
Choi Hang Yong,The Silent Sea,1562,387,6.8,8.8,7.5,5.9,7.0
Choi Ji Yeong,Love on a Rooftop,8341,7469,5.4,5.1,5.0,3.0,5.1
Choi Ji Yeong,Stock Struck,3947,3818,7.9,8.4,7.6,7.7,7.9
Choi Ji Yeong,The All-Round Wife,56592,9778,6.0,7.5,7.5,5.0,7.0
Choi Joon Bae,Come and Hug Me,810,178,7.5,8.8,7.9,6.2,7.7
"Choi Joon Bae, Kang Cheol Woo",Mouse,109,155,7.1,8.8,7.8,6.5,7.3
"Choi Joon Bae, Min Jung Ah",Stealer: The Treasure Keeper,3588,2023,8.7,8.9,8.8,8.7,8.4
Choi Jung Gyu,Children of Nobody,340,827,9.5,9.5,8.7,8.9,9.5
Choi Jung Gyu,The Devil Judge,170,165,8.0,9.3,8.7,6.6,8.4
"Choi Jung Gyu, Lee Byung Hoon",The Flower in Prison,3195,2342,9.2,9.2,8.8,9.2,9.3
Choi Jung In,On the Verge of Insanity,1700,3286,8.6,9.3,7.8,7.8,8.6
Choi Kyu Shik,Hush,5550,3347,8.9,9.6,8.7,8.3,9.1
Choi Kyu Shik,Love Is for Suckers,5604,1080,6.3,7.8,6.1,4.4,6.9
"Choi Kyu Shik, Jung Hyung Geon",Drinking Solo,4431,915,7.0,8.4,6.8,5.6,7.5
"Choi Kyu Shik, Jung Hyung Geon",Let's Eat Season 3,3695,2027,7.6,8.4,7.0,7.3,7.6
Choi Moon Seok,I Have a Lover,3419,2052,7.2,8.9,7.6,6.2,7.6
"Choi Moon Seok, Lee Kwang Young",Super Family,2710,5802,10.0,10.0,6.8,8.5,9.0
Choi Sun Mi,New Normal Zine,55829,7485,2.0,3.0,2.0,1.0,2.0
Choi Sun Mi,The World of My 17,3537,1704,7.1,7.0,7.5,6.5,7.1
Choi Sun Mi,When You Love Yourself,3185,4216,7.0,7.0,4.0,5.0,7.0
Choi Sun Mi,When You Love Yourself Season 2,3186,5893,9.5,10.0,10.0,9.0,9.5
Choi Sung Bum,More Than Friends,6674,611,5.0,7.7,7.1,3.8,5.2
Choi Sung Bum,My ID Is Gangnam Beauty,2735,25,7.1,6.6,7.4,5.3,6.8
Choi Sung Eun,Tong: Memories,5951,6833,7.6,8.3,6.5,4.8,8.4
"Choi Won Seok, Park Sang Woo",Never Twice,1707,1394,8.2,8.8,7.0,7.0,7.8
Choi Yi Sup,Love in Sadness,4905,2321,7.6,8.1,7.2,5.8,7.4
Choi Yoon Seok,To All The Guys Who Loved Me,7640,1357,5.7,7.7,6.3,3.2,6.0
Choi Young Hoon,Band of Sisters,3706,4690,5.2,8.0,6.3,3.0,5.8
Choi Young Hoon,Good Casting,2802,1487,7.6,8.2,7.8,6.1,7.6
Choi Young Hoon,High Society,7031,350,6.8,7.2,7.7,4.3,7.0
Choi Young Hoon,One the Woman,1516,984,6.9,8.2,6.8,5.9,7.0
Choi Young Hoon,Pandora: Beneath the Paradise,5798,2202,7.0,7.0,5.4,3.4,6.7
Choi Young Hoon,Second to Last Love,5993,2552,7.8,9.0,8.4,7.7,8.0
Go Dong Sun,Man Who Dies to Live,7789,6018,5.0,6.2,4.5,4.8,5.0
Go Jae Hyun,Crime Puzzle,4864,2842,7.8,8.3,7.2,6.0,7.5
Go Jae Hyun,Player,778,677,8.6,9.2,8.9,8.2,9.0
"Go Jae Hyun, Park Bong Sub",Dinner Mate,2224,636,7.1,8.7,8.3,5.2,7.1
"Go Jae Hyun, Yoon Ra Young",Café Minamdang,1511,397,8.0,8.7,8.2,5.8,8.1
Go Nak Gyun,Back to the 2008,5815,7206,8.0,7.5,7.5,8.0,8.0
Go Young Tak,Lovers in Bloom,5588,3725,7.7,8.7,7.7,7.2,8.2
Go Young Tak,Madam Cha Dal Rae's Love,55169,14234,4.0,5.0,1.0,1.0,4.0
Go Young Tak,The Love in Your Eyes,4136,5840,6.1,7.8,6.0,4.5,6.1
Ha Byung Hoon,18 Again,234,115,7.7,8.8,8.6,6.6,8.4
Ha Byung Hoon,Go Back Couple,373,234,8.7,9.2,8.7,8.4,8.9
Ha Byung Hoon,The Sound of Your Heart,915,751,9.1,9.6,8.2,8.8,9.2
Ha Han Me,The Mysterious Class,723,1982,8.0,8.8,9.1,7.2,8.0
Ha Han Me,The Sweet Blood,8785,946,5.6,5.8,5.8,4.0,5.2
Ha Han Me,You I Didn't Know,56424,14907,8.0,8.0,8.0,8.0,8.0
Han Cheol Soo,Graceful Family,967,545,8.5,9.2,7.8,7.5,8.7
Han Cheol Soo,My Little Baby,6181,2688,7.0,7.3,5.7,4.8,6.7
"Han Cheol Soo, Kim Yong Min",Again My Life,991,508,6.3,7.4,6.7,4.4,6.1
Han Chul Kyung,TV Novel: A Sea of Her Own,58870,14170,2.0,2.0,1.0,1.0,2.0
Han Da Weon,Daily Moon's,52102,14864,8.2,8.5,7.5,6.8,7.5
Han Da Weon,Ordinary but Special,6438,6214,6.0,7.0,5.0,5.0,4.0
