drama_name,year,director,screenwriter,tot_eps,duration,org_net,content_rt,rank,pop,date,new_org_net
Sing My Crush,2023,So Joon Moon,Lee Do Ah,8,25.0,,UNK,1484,2238,2023-08,기타
D.P. Season 2,2023,Han Jun Hee,Kim Bo Tong,6,50.0,netflix,15,164,1084,2023-07,ott
Shadow Detective Season 2,2023,Han Dong Hwa,"Song Jung Woo, Hwang Seol Hun",8,55.0,disney+ hulu,15,2443,6915,2023-07,ott
To Be Honest,2023,,,3,10.0,,UNK,49895,99999,2023-06,기타
Celebrity,2023,Kim Chul Gyu,Kim Yi Young,12,45.0,netflix,18,826,547,2023-06,ott
Blue Temperature,2023,,,4,7.0,naver tv cast,UNK,47245,15405,2023-06,web
Numbers,2023,Kim Chil Bong,"Oh Hye Seok, Jung An",12,60.0,mbc,15,2685,1546,2023-06,broadcast
Revenant,2023,"Lee Jung Rim, Kim Jae Hong",Kim Eun Hee,12,70.0,sbs,15,236,769,2023-06,broadcast
Adult Kids,2023,,,8,10.0,,UNK,47813,10649,2023-06,기타
Lies Hidden in My Garden,2023,Jung Ji Hyun,Ji Ah Nee,8,60.0,ena genie tv,15,3381,1843,2023-06,broadcast
King the Land,2023,"Im Hyun Wook, Choi Sun Min",Choi Rom,16,80.0,jtbc netflix tving,15,605,237,2023-06,broadcast
See You in My 19th Life,2023,Lee Na Jung,"Han Ah Reum, Choi Young Rim",12,70.0,netflix tving tvn,15,467,297,2023-06,broadcast
Bloodhounds,2023,Jason Kim,Jason Kim,8,60.0,netflix,18,261,444,2023-06,ott
Love Tractor,2023,Yang Kyung Hee,Choi Yi Yoon,8,25.0,,13,2342,1099,2023-06,기타
Romance by Romance,2023,,,10,15.0,,15,6232,7118,2023-06,기타
The Villain of Romance,2023,,,10,45.0,mbc dramanet,15,56335,7766,2023-06,broadcast
Sound Candy,2023,Kang Hee Ju,,10,15.0,tving,ALL,54892,8575,2023-06,ott
Bitch X Rich,2023,Min Ji Young,Jung Sung Eun,10,35.0,netflix,15,5659,1731,2023-05,ott
