word,count,sep
character,19956,good
story,13442,good
episode,12131,good
plot,6186,good
scene,5794,good
love,5361,good
great,4755,good
actor,4613,good
romance,4320,good
acting,3385,good
cast,3170,good
best,3042,good
bad,3007,good
ending,3004,good
different,2767,good
interesting,2619,good
writer,2533,good
relationship,2531,good
chemistry,2477,good
job,2366,good
amazing,2264,good
female,2261,good
cute,2244,good
family,2214,good
role,2153,good
short,2130,good
music,2068,good
new,2053,good
perfect,2001,good
review,1812,good
heart,1785,good
-,1691,good
male,1653,good
fun,1642,good
happy,1615,good
nice,1609,good
development,1573,good
beautiful,1570,good
funny,1522,good
comedy,1518,good
world,1515,good
strong,1488,good
storyline,1468,good
only,1449,good
Korean,1447,good
high,1422,good
stories,1421,good
beginning,1384,good
worth,1382,good
sure,1381,good
reason,1379,good
kind,1348,good
sweet,1321,good
hard,1310,good
sense,1301,good
watch,1296,good
past,1282,good
half,1278,good
man,1257,good
least,1255,good
romantic,1251,good
others,1250,good
girl,1248,good
able,1237,good
long,1225,good
guy,1221,good
action,1213,good
viewers,1209,good
emotions,1205,good
fan,1204,good
big,1194,good
emotional,1191,good
such,1187,good
enough,1161,good
years,1147,good
right,1128,good
roles,1120,good
school,1115,good
friends,1114,good
sad,1113,good
boring,1105,good
mother,1097,good
screen,1091,good
parts,1081,good
feelings,1081,good
mystery,1058,good
light,1054,good
realistic,1043,good
favorite,1033,good
issues,1026,good
place,1019,good
full,1007,good
wrong,1004,good
slow,998,good
day,996,good
top,989,good
important,978,good
case,965,good
work,952,good
writing,944,good
production,937,good
relationships,933,good
friendship,922,good
performance,922,good
old,921,good
annoying,914,good
woman,910,good
next,896,good
true,893,good
revenge,893,good
actress,892,good
original,892,good
friend,891,good
ones,875,good
line,872,good
human,870,good
potential,866,good
simple,857,good
young,854,good
easy,851,good
opinion,844,good
unique,834,good
entire,834,good
problem,831,good
father,807,good
year,803,good
single,802,good
rest,802,good
evil,796,good
course,789,good
shows,787,good
future,785,good
team,785,good
women,782,good
enjoyable,782,good
certain,771,good
honest,755,good
serious,755,good
self,754,good
song,746,good
problems,742,good
mind,733,good
crime,731,good
start,726,good
eyes,726,good
typical,725,good
web,725,good
lives,720,good
script,716,good
thriller,715,good
dark,714,good
type,704,good
idea,700,good
twists,696,good
expectations,685,good
helpful,680,good
okay,678,good
songs,676,good
special,676,good
power,676,good
genre,675,good
glad,673,good
guys,669,good
overall,669,good
depth,667,good
value,661,good
cinematography,660,good
attention,657,good
major,654,good
face,651,good
hand,649,good
final,648,good
elements,647,good
entertaining,645,good
audience,633,good
villain,627,good
director,622,good
background,621,good
decent,620,good
cases,615,good
actions,613,good
events,613,good
personal,612,good
performances,603,good
points,601,good
interest,597,good
kdrama,591,good
small,591,good
chance,585,good
theme,583,good
feeling,582,good
rating,582,good
excellent,580,good
middle,577,good
personality,576,good
experience,574,good
minutes,572,good
parents,570,good
concept,570,good
husband,565,good
child,559,good
reality,559,good
death,551,good
focus,548,good
pacing,547,good
several,540,good
similar,539,good
flaws,536,good
huge,535,good
fine,535,good
situation,534,good
reviews,529,good
pace,529,good
present,527,good
crazy,526,good
premise,526,good
justice,525,good
law,525,good
predictable,524,good
ways,523,good
son,522,good
adorable,518,good
amount,517,good
journey,513,good
complex,512,good
fantasy,504,good
rich,502,good
daughter,499,good
lack,498,good
wonderful,498,good
reasons,498,good
brother,497,good
com,497,good
age,496,good
twist,496,good
possible,495,good
mood,495,good
issue,494,good
unnecessary,494,good
weird,490,good
police,489,good
quality,488,good
words,487,good
brilliant,487,good
interested,486,good
suspense,484,good
weak,480,good
aspect,479,good
wife,479,good
group,479,good
usual,478,good
low,477,good
order,476,good
favourite,475,good
historical,474,good
sister,472,good
actual,472,good
poor,472,good
boy,470,good
movie,466,good
days,465,good
intriguing,464,good
lol,461,good
week,460,good
%,459,good
title,459,good
less,457,good
version,455,good
while,453,good
level,453,good
lines,450,good
dramatic,449,good
clear,449,good
mom,449,good
difficult,449,good
intense,447,good
deep,447,good
stuff,445,good
triangle,443,good
money,441,good
aspects,440,good
message,439,good
complicated,438,good
situations,437,good
questions,437,good
previous,435,good
terms,435,good
portrayal,433,good
surprised,432,good
viewer,432,good
awesome,432,good
natural,431,good
normal,430,good
example,430,good
refreshing,429,good
memorable,429,good
soundtrack,426,good
rom,426,good
pain,426,good
biggest,423,good
webtoon,422,good
plots,420,good
head,417,good
growth,417,good
smart,415,good
mature,415,good
solid,415,good
stupid,412,good
society,411,good
heavy,411,good
hilarious,410,good
particular,410,good
political,410,good
average,409,good
obvious,407,good
truth,406,good
cool,405,good
very,404,good
fantastic,397,good
slice,397,good
actresses,396,good
direction,396,good
change,395,good
excited,394,good
men,394,good
list,394,good
children,394,good
couples,393,good
kids,392,good
try,390,good
Music,390,good
name,390,good
themes,389,good
skills,386,good
cold,382,good
older,382,good
killer,380,good
choice,380,good
bromance,379,good
disappointed,377,good
2nd,377,good
lots,371,good
melodrama,371,good
style,371,good
general,369,good
warm,368,good
social,368,good
close,367,good
holes,367,good
powerful,366,good
cliche,362,good
comedic,361,good
politics,360,good
members,360,good
fans,357,good
happiness,356,good
medical,355,good
lovely,354,good
fresh,354,good
narrative,353,good
finale,352,good
exciting,352,good
open,348,good
OSTs,348,good
relatable,348,good
villains,347,good
girls,344,good
details,343,good
tension,343,good
confusing,342,good
frustrating,342,good
positive,342,good
history,341,good
worst,341,good
#,340,good
K,339,good
execution,338,good
interactions,337,good
detective,337,good
tropes,335,good
struggles,334,good
business,333,good
pure,331,good
note,329,good
ridiculous,329,good
office,329,good
murder,329,good
idol,329,good
hours,328,good
Acting,326,good
expressions,325,good
emotion,325,good
complete,325,good
awkward,324,good
vibe,323,good
tears,323,good
humor,323,good
company,322,good
rewatch,322,good
surprise,322,good
eye,322,good
backstory,319,good
common,318,good
minute,317,good
younger,316,good
dynamic,315,good
ex,315,good
k,315,good
support,313,good
decisions,311,good
minor,311,good
ride,310,good
mess,310,good
number,310,good
quick,310,good
multiple,309,good
comments,309,good
students,308,good
believable,308,good
choices,308,good
need,307,good
fluffy,306,good
editing,306,good
flashbacks,305,good
tone,305,good
terrible,305,good
conclusion,303,good
disappointing,302,good
dead,302,good
worse,302,good
Good,301,good
mysterious,301,good
satisfying,301,good
none,300,good
hearted,300,good
Story,300,good
various,298,good
tragic,298,good
star,297,good
score,296,good
mental,296,good
length,295,good
subtle,295,good
bored,294,good
addition,293,good
body,293,good
thoughts,292,good
marriage,292,good
question,291,good
random,291,good
binge,290,good
charm,289,good
voice,288,good
care,286,good
personalities,284,good
nature,284,good
popular,283,good
king,283,good
familiar,283,good
arc,282,good
repetitive,282,good
fight,282,good
childhood,282,good
process,281,good
negative,281,good
game,281,good
corruption,280,good
protagonist,279,good
room,279,good
spoilers,278,good
individual,276,good
element,276,good
impact,275,good
filler,275,good
purpose,275,good
food,273,good
impressive,273,good
non,273,good
Most,273,good
silly,272,good
pretty,272,good
setting,271,good
trope,270,good
perspective,270,good
cheesy,270,good
adult,270,good
initial,269,good
masterpiece,269,good
rare,268,good
incredible,267,good
blood,267,good
seasons,267,good
sorry,266,good
hell,266,good
word,266,good
Other,265,good
satisfied,265,good
necessary,265,good
student,265,good
lovers,264,good
edge,264,good
doctor,264,good
connection,263,good
cliches,263,good
mini,263,good
unexpected,263,good
ratings,262,good
hope,261,good
willing,260,good
unrealistic,260,good
curious,259,good
hero,259,good
secret,259,good
back,259,good
country,258,good
heartwarming,258,good
innocent,255,good
sort,255,good
beauty,254,good
horror,251,good
violence,251,good
total,251,good
movies,250,good
ok,249,good
kiss,249,good
higher,249,good
hour,248,good
fair,248,good
compelling,248,good
smile,247,good
comic,247,good
ready,247,good
track,246,good
effects,246,good
house,245,good
proper,245,good
ability,245,good
antagonist,245,good
free,244,good
dreams,244,good
thought,244,good
flat,244,good
sound,243,good
angst,243,good
synopsis,243,good
dynamics,242,good
basic,241,good
dialogue,241,good
kid,240,good
relief,240,good
trauma,239,good
third,239,good
teacher,239,good
worthy,239,good
early,239,good
career,238,good
due,238,good
angry,238,good
brain,238,good
camera,237,good
lady,237,good
longer,237,good
storylines,237,good
entertainment,236,good
casts,236,good
boyfriend,236,good
difference,235,good
supernatural,235,good
conflict,235,good
casting,235,good
strength,234,good
charming,234,good
plenty,234,good
opposite,234,good
modern,234,good
likable,233,good
draggy,233,good
stars,233,good
decision,233,good
industry,233,good
superb,233,good
class,232,good
mistakes,232,good
selfish,230,good
hair,227,good
system,226,good
key,226,good
Great,225,good
impression,225,good
messy,225,good
secondary,225,good
extra,224,good
view,224,good
soul,224,good
piece,224,good
up,224,good
hospital,223,good
wise,223,good
dream,223,good
period,223,good
impressed,223,good
genres,223,good
serial,222,good
closure,222,good
break,221,good
outstanding,221,good
book,221,good
fake,221,good
ordinary,220,good
anger,220,good
handsome,219,good
atmosphere,219,good
topics,218,good
talent,217,good
pieces,217,good
meaningful,217,good
balance,217,good
ghost,217,good
budget,217,good
air,216,good
aware,216,good
struggle,216,good
approach,216,good
core,216,good
spot,215,good
hot,214,good
home,214,good
step,214,good
respect,214,good
1st,214,good
progression,213,good
bond,213,good
fault,212,good
touching,212,good
gem,212,good
abuse,212,good
storytelling,211,good
