screenwriter,drama_name,tot_eps,duration,rank,pop,story_score,acting_cast_score,music_score,rewatch_value_score,overall_score
Lee Do Ah,Bo Ra! Deborah,14.0,70.0,1584.0,644.0,6.9,8.4,7.1,5.5,7.0
Kim Bo Tong,Mad for Each Other,13.0,35.0,523.0,366.0,8.3,9.1,8.3,7.3,8.1
Song Jung Woo,Memorist,16.0,65.0,692.0,291.0,8.8,9.2,6.8,6.9,8.4
Hwang Seol Hun,Memorist,16.0,65.0,692.0,291.0,8.8,9.2,6.8,6.9,8.4
Kim Yi Young,I'm Sorry Kang Nam Goo,120.0,35.0,52970.0,9216.0,1.5,2.5,1.0,1.0,1.5
Oh Hye Seok,Scene Number Paran,3.0,11.0,56347.0,99999.0,8.0,8.0,6.0,7.5,8.0
Jung An,Scene Number Paran,3.0,11.0,56347.0,99999.0,8.0,8.0,6.0,7.5,8.0
Kim Eun Hee,The Witch Store,12.0,13.0,6696.0,4847.0,7.5,6.7,8.7,4.5,7.3
Ji Ah Nee,Mom Has an Affair,122.0,32.0,6789.0,9021.0,7.2,7.3,5.5,4.3,7.0
Choi Rom,My Son-In-Law's Woman,120.0,40.0,51872.0,9341.0,3.0,3.0,1.0,1.0,3.0
Han Ah Reum,Love with Flaws,32.0,30.0,3570.0,309.0,6.1,8.2,8.0,4.9,6.6
Choi Young Rim,Love with Flaws,32.0,30.0,3570.0,309.0,6.1,8.2,8.0,4.9,6.6
Jason Kim,The Banker,32.0,35.0,4906.0,7208.0,8.0,8.0,8.0,5.0,8.0
Choi Yi Yoon,The Good Bad Mother,14.0,70.0,75.0,370.0,7.9,9.2,7.5,6.6,8.0
Jung Sung Eun,Should We Kiss First?,40.0,35.0,2821.0,3328.0,8.6,9.2,8.1,7.2,8.4
Joo Young Ha,Zombie Detective,24.0,30.0,1312.0,597.0,7.6,8.7,7.8,6.5,8.1
Han Woo Joo,Once Upon a Small Town,12.0,34.0,2236.0,499.0,6.3,7.4,6.1,5.0,6.8
Jeon Seon Young,Melting Me Softly,16.0,65.0,4468.0,142.0,4.2,6.6,6.4,3.4,5.0
Cho Ui Seok,Mine,16.0,70.0,1111.0,665.0,6.8,9.2,7.2,5.3,7.6
Kim Roo Ri,Miracle That We Met,18.0,60.0,2072.0,2067.0,8.7,9.0,8.2,6.8,8.1
Han Woo Ri,Strong Woman Do Bong Soon,16.0,67.0,249.0,2.0,4.2,7.2,6.0,3.2,5.2
Kang Yoon,Woman of Dignity,20.0,60.0,1534.0,1779.0,8.1,9.4,7.3,6.6,8.5
Baek So Yeon,My Perfect Stranger,16.0,70.0,310.0,981.0,9.0,9.2,7.8,6.7,8.8
Won Yeong Jin,The Tale of Nokdu,32.0,33.0,849.0,138.0,6.4,8.6,7.3,5.4,6.9
Kang Eun Kyung,My Roommate Is a Gumiho,16.0,70.0,817.0,90.0,7.4,8.7,8.0,6.5,7.8
Seok Bo Bae,What's Wrong with Secretary Kim,16.0,69.0,500.0,5.0,5.5,8.0,6.6,4.1,6.4
Bae Se Young,A Poem a Day,16.0,65.0,2749.0,694.0,7.4,8.5,8.0,5.3,7.9
Im Do Wan,Drinking Solo,16.0,64.0,4431.0,915.0,7.0,8.4,6.8,5.6,7.5
Jung Yoo Sun,Missing: The Other Side,12.0,70.0,320.0,796.0,9.6,9.7,9.0,7.6,9.4
Jung Yeo Rang,Missing: The Other Side Season 2,14.0,60.0,147.0,1862.0,9.5,9.6,8.9,8.5,9.4
Moon Ji Young,Genome’s Romance,8.0,15.0,56050.0,13028.0,8.5,8.5,8.0,7.2,8.0
Shin Kyung Il,King Maker: The Change of Destiny,21.0,62.0,3314.0,2668.0,8.3,8.6,8.7,5.8,8.2
Ah Kyung,Shadow Beauty,13.0,20.0,2032.0,991.0,7.4,8.6,6.8,6.0,7.4
No Yoon Soo,4 Reasons Why I Hate Christmas,6.0,16.0,5422.0,3709.0,7.4,8.0,7.1,6.2,7.5
Kim Jin Wook,Just One Bite,8.0,14.0,2965.0,2410.0,7.0,7.2,6.8,6.5,7.2
Choi Jin Young,Just One Bite Season 2,10.0,15.0,2490.0,3028.0,7.9,8.9,7.8,5.5,8.6
Jung Ho Rak,Just One Bite Season 2,10.0,15.0,2490.0,3028.0,7.9,8.9,7.8,5.5,8.6
Lee Nam Gyu,Live On,8.0,63.0,1536.0,533.0,6.7,8.0,7.6,5.9,7.1
Werner du Plessis,Yellow,10.0,8.0,5904.0,3036.0,7.6,8.1,7.6,7.1,7.8
Inu Baek,Yellow,10.0,8.0,5904.0,3036.0,7.6,8.1,7.6,7.1,7.8
Kwon Eum Mi,Two Cops,32.0,35.0,2853.0,903.0,6.5,7.9,6.0,5.2,6.8
Shin Yoo,V.I.P,32.0,30.0,2145.0,1139.0,8.4,9.2,8.4,6.5,8.4
Kang Jae Hyun,Unasked Family,123.0,30.0,5634.0,7368.0,6.0,5.0,3.6,4.1,5.4
Lee Jung Dae,The Master of Revenge,20.0,63.0,5687.0,3966.0,7.2,8.8,7.0,2.7,7.3
Hyun Ji Min,She Would Never Know,16.0,65.0,2090.0,264.0,7.6,8.5,7.9,7.4,8.0
Kim Eun Sook,The Forbidden Marriage,12.0,70.0,780.0,698.0,7.4,8.1,7.5,6.1,7.2
Jung Hyung Soo,Hometown,12.0,70.0,5718.0,2112.0,7.0,8.7,7.2,5.2,6.9
Yoo Young Ah,Itaewon Class,16.0,70.0,595.0,19.0,6.5,8.0,7.3,4.9,6.7
Kim Hoi Joon,Black Knight,6.0,42.0,1422.0,608.0,7.6,8.4,6.7,6.4,7.8
Park Hye Young,Touch Your Heart,16.0,70.0,1094.0,47.0,7.5,8.5,7.7,6.7,8.0
Han Bo Kyung,Touch Your Heart,16.0,70.0,1094.0,47.0,7.5,8.5,7.7,6.7,8.0
Joo Hyo Jin,Touch Your Heart,16.0,70.0,1094.0,47.0,7.5,8.5,7.7,6.7,8.0
Jang Yoon Mi,Hellbound,6.0,50.0,5294.0,364.0,7.9,8.7,7.7,6.4,7.6
Kim Ga Eun,Mask,20.0,60.0,1706.0,469.0,7.3,8.1,6.5,4.9,7.5
Oh Sang Ho,Time,32.0,35.0,3777.0,1342.0,6.7,7.9,6.7,4.3,6.5
Kang Yoon Sung,Babysitter,4.0,60.0,6149.0,6548.0,8.8,8.3,8.8,7.5,8.3
Lee Chun Geum,House of Bluebird,50.0,60.0,6037.0,3939.0,5.2,7.2,7.8,5.0,5.8
Choi Soo Young,Perfume,32.0,35.0,3076.0,761.0,7.5,8.8,7.3,6.8,7.7
Choi Soo Young,Perfume,32.0,35.0,3076.0,761.0,7.5,8.8,7.3,6.8,7.7
Jung Hyun Jung,Devilish Joy,16.0,65.0,2621.0,446.0,7.2,8.9,7.7,6.9,8.1
Kim Jin Wook,Thumping Spike,20.0,15.0,3832.0,1016.0,6.9,7.1,6.3,6.3,7.3
Heo Joon Woo,Thumping Spike 2,20.0,15.0,5106.0,1456.0,7.6,8.5,8.2,6.4,7.8
Kang Yi Hun,Thumping Spike 2,20.0,15.0,5106.0,1456.0,7.6,8.5,8.2,6.4,7.8
Kim Hwa Joon,The Good Detective Season 2,16.0,70.0,1685.0,2270.0,7.6,9.3,6.8,5.9,7.8
Park Jin Ri,The Man in the Mask,16.0,70.0,8356.0,3224.0,7.5,8.0,6.2,6.0,7.5
Yang Hee Seung,Queen for Seven Days,20.0,60.0,1128.0,615.0,8.4,9.0,9.0,6.6,8.6
Lee Bom,Joseon Attorney: A Morality,16.0,70.0,2122.0,1201.0,7.5,9.1,7.7,5.5,7.7
Song Soo Han,Crime Puzzle,10.0,70.0,4864.0,2842.0,7.8,8.3,7.2,6.0,7.5
Kim Won Seok,CHIP-IN,8.0,60.0,3155.0,3243.0,6.4,8.2,6.6,5.2,6.9
Park Kyung Soon,Cleaning Up,16.0,70.0,4945.0,3760.0,7.2,8.1,6.4,3.8,6.8
Kim Eun Sook,Return,34.0,35.0,3310.0,2710.0,8.3,8.6,7.6,6.3,8.2
Jang Yoon Mi,Love on a Rooftop,101.0,35.0,8341.0,7469.0,5.4,5.1,5.0,3.0,5.1
Oh Bo Hyun,Love on a Rooftop,101.0,35.0,8341.0,7469.0,5.4,5.1,5.0,3.0,5.1
Lee Hyun Jung,Kill It,12.0,60.0,1367.0,278.0,7.5,8.8,8.4,5.2,7.5
Lee Seo Hyun,Kill It,12.0,60.0,1367.0,278.0,7.5,8.8,8.4,5.2,7.5
Yoon Mi Hee,Black,18.0,80.0,1823.0,151.0,8.2,8.3,8.6,6.8,8.0
Kang Yoon Sung,Mouse,20.0,75.0,109.0,155.0,7.1,8.8,7.8,6.5,7.3
Ryu Bo Ri,King the Land,16.0,80.0,605.0,237.0,6.6,8.8,8.2,6.0,7.7
Ban Ki Ri,Defendant,18.0,70.0,210.0,380.0,8.0,9.6,8.2,6.5,8.4
Jung So Young,Defendant,18.0,70.0,210.0,380.0,8.0,9.6,8.2,6.5,8.4
Moon Young Nam,Heart Surgeons,32.0,35.0,2204.0,2859.0,7.4,7.9,7.1,5.8,7.3
Kim Bo Tong,One Dollar Lawyer,12.0,70.0,497.0,873.0,8.2,8.9,8.2,6.8,8.2
Son Yi Seul,Love to Hate You,10.0,52.0,376.0,280.0,8.3,8.7,7.2,7.7,8.4
Kim Tae Wook,My ID Is Gangnam Beauty,16.0,60.0,2735.0,25.0,7.1,6.6,7.4,5.3,6.8
Hong Jung Eun,Madam Cha Dal Rae's Love,100.0,36.0,55169.0,14234.0,4.0,5.0,1.0,1.0,4.0
Hong Mi Ran,Madam Cha Dal Rae's Love,100.0,36.0,55169.0,14234.0,4.0,5.0,1.0,1.0,4.0
Ryu Yong Jae,It's Okay to Be Sensitive Season 2,10.0,14.0,2295.0,3908.0,8.7,8.7,8.0,4.3,8.5
Kim Hwan Chae,It's Okay to Be Sensitive Season 2,10.0,14.0,2295.0,3908.0,8.7,8.7,8.0,4.3,8.5
Choi Sung Joon,It's Okay to Be Sensitive Season 2,10.0,14.0,2295.0,3908.0,8.7,8.7,8.0,4.3,8.5
Cheon Ji Hye,New Normal Zine,12.0,20.0,55829.0,7485.0,2.0,3.0,2.0,1.0,2.0
Wi So Young,When You Love Yourself,6.0,10.0,3185.0,4216.0,7.0,7.0,4.0,5.0,7.0
Kim Hyung Min,When You Love Yourself Season 2,10.0,10.0,3186.0,5893.0,9.5,10.0,10.0,9.0,9.5
Jung Yoo Kyung,The Boy Next Door,15.0,6.0,2325.0,443.0,9.2,9.7,9.0,9.6,9.5
Lee Seo Jung,Blessing of the Sea,121.0,35.0,53475.0,8876.0,3.5,4.5,1.0,1.0,3.5
Lee Yoon Jung,Love Tractor,8.0,25.0,2342.0,1099.0,8.1,8.8,8.5,7.5,8.4
Choi Yo Ji,New Love Playlist,12.0,15.0,5067.0,4789.0,7.0,8.1,7.4,4.8,6.2
Kim Tae Hee,The Guilty Secret,12.0,10.0,5535.0,3047.0,7.4,8.2,6.4,6.4,7.0
Han Ji Wan,Want More 19,7.0,10.0,4834.0,3639.0,7.6,7.8,7.6,6.0,7.5
Min Ji Eun,Angel's Last Mission: Love,32.0,35.0,623.0,73.0,7.5,8.8,8.9,6.4,8.0
Lee Hee Myung,Lucky Romance,16.0,60.0,3652.0,400.0,8.0,9.0,7.6,6.9,8.3
Sung Sang Min,Sh**ting Stars,16.0,60.0,777.0,134.0,7.2,8.4,8.0,5.5,7.5
Ahn Se Hwa,About Time,16.0,70.0,5730.0,399.0,6.6,7.6,6.8,4.1,6.4
